Url
Ada 0.017888682971818365 2218.176547777369
Bf 0.23324023561553253 1.926697015762329
LBf 0.0329612324861731 5589.915932925175

Malware
0.0014035767006267696 1300.1984153037333
0.381797062168768 0.12619709968566895
0.002734554606393534 757.5913274746509

Fake
0.009148005734749824 2149.4005281867762
0.04322057791401474 1.364037036895752
0.04261470999322148 7248.976739273788

Fake Full
0.00010197776884639149 2341.3547137649352
0.045422097982639784 1.3807010650634766
0.0009777868424683419 2115.234205278449
